tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Estafa por Internet,WhatsApp o SMS,65 o mas,Masculino,Lima,Manana,Si,No,No,3058.77
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Manana,Si,No,Si,5166.85
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Tarde,No,Si,No,5980.19
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Puno,Tarde,No,No,No,2954.49
Fraude Informatico,Pagina Web Falsa,65 o mas,Masculino,Puno,Noche,No,Si,No,6595.99
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Tarde,Si,No,Si,3101.32
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,Si,Si,Si,3425.67
Acceso Ilicito,Correo Electronico,30-49,Masculino,Lima,Madrugada,Si,No,No,4954.85
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Arequipa,Tarde,No,No,Si,7392.81
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,No,Si,7463.41
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Cusco,Noche,No,No,No,1393.57
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Noche,No,Si,No,3452.16
Acceso Ilicito,WhatsApp o SMS,65 o mas,Femenino,Lima,Madrugada,No,No,Si,5305.15
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Noche,No,Si,Si,6902.96
Sextorsion,Redes Sociales,30-49,Masculino,Lima,Madrugada,No,No,No,8912.99
Acceso Ilicito,Redes Sociales,30-49,Femenino,Junin,Manana,Si,No,No,2419.62
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,Si,Si,No,3178.68
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Madrugada,No,No,No,8959.53
Acceso Ilicito,Pagina Web Falsa,18-29,Masculino,Lima,Tarde,No,No,Si,3850.31
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Madrugada,No,Si,No,4203.24
Acceso Ilicito,WhatsApp o SMS,50-64,Femenino,Lima,Manana,Si,Si,Si,4610.58
Acceso Ilicito,WhatsApp o SMS,65 o mas,Femenino,Lima,Tarde,Si,Si,No,3421.69
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Tarde,Si,Si,No,3927.63
Fraude Informatico,Redes Sociales,18-29,Masculino,Arequipa,Noche,Si,No,No,6241.82
Fraude Informatico,Redes Sociales,65 o mas,Masculino,Lima,Tarde,No,Si,Si,9084.15
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,2157.36
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Junin,Manana,No,Si,Si,1044.82
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Madrugada,No,No,No,4401.65
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Madrugada,Si,No,No,9500.34
Fraude Informatico,Llamada Telefonica,30-49,Masculino,Lima,Tarde,No,No,No,6561.86
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,4301.46
Acceso Ilicito,Correo Electronico,30-49,Femenino,Piura,Manana,No,No,Si,6065.53
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,Si,Si,No,803.66
Estafa por Internet,Redes Sociales,30-49,Masculino,Piura,Tarde,No,Si,Si,1121.03
Suplantacion de Identidad,Correo Electronico,18-29,Masculino,Lima,Madrugada,No,No,No,1382.12
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Manana,No,Si,No,4961.44
Acceso Ilicito,Llamada Telefonica,65 o mas,Femenino,Cusco,Noche,No,No,No,4425.63
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,No,No,5326.46
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Arequipa,Noche,Si,No,Si,2585.97
Acceso Ilicito,Correo Electronico,18-29,Femenino,Lima,Madrugada,No,Si,Si,2727.15
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Piura,Noche,Si,No,No,1707.94
Suplantacion de Identidad,WhatsApp o SMS,65 o mas,Masculino,Lima,Manana,No,No,No,2927.65
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Callao,Madrugada,No,No,Si,3717.27
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Noche,Si,No,Si,3037.02
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Callao,Manana,No,No,Si,10074.57
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,No,No,4291.87
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Piura,Manana,Si,No,No,1309.5
Fraude Informatico,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,No,Si,8022.8
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lambayeque,Noche,Si,Si,Si,1413.05
Estafa por Internet,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,No,1296.09
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Tarde,No,No,Si,5345.63
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,Si,7244.78
Acceso Ilicito,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,Si,Si,No,2840.95
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,No,6009.45
Fraude Informatico,Redes Sociales,30-49,Femenino,Junin,Manana,Si,Si,No,4384.32
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Tacna,Manana,Si,No,No,6608.41
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Manana,No,Si,Si,6595.81
Estafa por Internet,Redes Sociales,30-49,Femenino,Lambayeque,Noche,No,No,No,2313.0
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,No,Si,2375.84
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,No,Si,1854.89
Estafa por Internet,Correo Electronico,50-64,Femenino,Piura,Manana,No,No,No,3490.82
Acceso Ilicito,Llamada Telefonica,30-49,Masculino,La Libertad,Manana,No,Si,No,2012.54
Fraude Informatico,Correo Electronico,18-29,Masculino,Tacna,Tarde,Si,Si,Si,2542.88
Estafa por Internet,Redes Sociales,18-29,Femenino,Lima,Noche,Si,No,Si,1139.13
Suplantacion de Identidad,Correo Electronico,18-29,Masculino,La Libertad,Manana,Si,No,Si,680.29
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Noche,Si,No,No,3243.75
Estafa por Internet,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,No,1995.49
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,No,8406.92
Fraude Informatico,Llamada Telefonica,30-49,Masculino,Tacna,Tarde,Si,Si,Si,5235.23
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Cusco,Tarde,No,Si,No,5246.63
Fraude Informatico,Correo Electronico,30-49,Masculino,Cusco,Tarde,Si,No,Si,5674.6
Acceso Ilicito,WhatsApp o SMS,30-49,Femenino,Lima,Noche,No,Si,No,4038.84
Estafa por Internet,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,1351.1
Fraude Informatico,WhatsApp o SMS,65 o mas,Masculino,Lima,Noche,Si,No,Si,11838.74
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Tarde,Si,No,No,3371.18
Fraude Informatico,Correo Electronico,50-64,Femenino,Lima,Tarde,No,No,Si,5622.27
Fraude Informatico,WhatsApp o SMS,50-64,Femenino,Piura,Tarde,Si,No,No,3877.39
Fraude Informatico,Correo Electronico,65 o mas,Masculino,Lima,Manana,No,No,No,5953.09
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Noche,No,No,No,9578.47
Estafa por Internet,Llamada Telefonica,18-29,Femenino,Lima,Tarde,Si,No,No,2555.17
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Madrugada,No,Si,No,9098.49
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,Si,3098.27
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lambayeque,Tarde,No,Si,Si,3133.98
Fraude Informatico,Llamada Telefonica,30-49,Masculino,La Libertad,Madrugada,No,Si,No,6120.7
Sextorsion,Llamada Telefonica,18-29,Masculino,Cusco,Madrugada,No,No,Si,4753.14
Sextorsion,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,Si,5063.68
Fraude Informatico,Pagina Web Falsa,50-64,Femenino,Lima,Manana,No,Si,Si,6585.64
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Manana,Si,No,Si,2576.47
Fraude Informatico,Redes Sociales,30-49,Femenino,Callao,Manana,No,Si,No,5816.11
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Cusco,Manana,Si,No,No,4861.75
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Tarde,No,No,Si,6955.34
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,Si,No,2468.87
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,No,Si,No,2314.18
Fraude Informatico,Correo Electronico,50-64,Masculino,Arequipa,Manana,No,Si,No,5608.58
Fraude Informatico,Correo Electronico,30-49,Femenino,Junin,Tarde,No,No,No,8272.58
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Arequipa,Madrugada,No,Si,No,2088.86
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Madrugada,No,Si,No,3522.94
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Lima,Madrugada,No,Si,No,3384.57
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Noche,No,No,Si,2623.41
Sextorsion,WhatsApp o SMS,30-49,Femenino,Lima,Tarde,No,No,No,7198.32
Fraude Informatico,Llamada Telefonica,30-49,Femenino,Lima,Tarde,No,Si,No,9936.33
Suplantacion de Identidad,Redes Sociales,65 o mas,Masculino,Piura,Tarde,Si,No,No,1873.72
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Piura,Tarde,No,No,No,2682.4
Fraude Informatico,Redes Sociales,50-64,Femenino,Lima,Tarde,No,No,No,5789.85
Acceso Ilicito,Redes Sociales,18-29,Masculino,Puno,Tarde,No,No,No,1711.6
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Madrugada,Si,No,No,9546.03
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,Si,1405.65
Suplantacion de Identidad,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,Si,Si,No,1330.69
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Tarde,No,No,No,2939.74
Fraude Informatico,Llamada Telefonica,18-29,Masculino,Lima,Manana,Si,No,No,5341.8
Acceso Ilicito,Pagina Web Falsa,30-49,Masculino,Lima,Manana,Si,No,Si,6193.58
Fraude Informatico,WhatsApp o SMS,50-64,Femenino,Lima,Tarde,Si,No,Si,7078.46
Fraude Informatico,Llamada Telefonica,18-29,Masculino,Tacna,Tarde,No,No,Si,3924.54
Fraude Informatico,WhatsApp o SMS,50-64,Masculino,Lima,Noche,No,No,No,11517.13
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Manana,No,No,No,3369.87
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Tarde,No,Si,No,1344.68
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Arequipa,Tarde,Si,No,Si,2235.33
Suplantacion de Identidad,Pagina Web Falsa,18-29,Masculino,Lima,Noche,No,No,No,1106.22
Fraude Informatico,Pagina Web Falsa,18-29,Femenino,Puno,Tarde,No,No,Si,3932.74
Suplantacion de Identidad,Correo Electronico,18-29,Femenino,Lima,Tarde,No,No,Si,2760.49
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,Si,Si,5027.95
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Arequipa,Tarde,No,Si,No,1440.88
Fraude Informatico,Redes Sociales,50-64,Masculino,Lima,Noche,Si,No,Si,10415.37
Estafa por Internet,WhatsApp o SMS,50-64,Masculino,Lima,Madrugada,No,No,No,3145.35
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Madrugada,No,No,No,6725.72
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Arequipa,Noche,No,No,No,7206.1
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Lima,Tarde,No,Si,Si,6410.21
Estafa por Internet,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,No,3359.17
Estafa por Internet,Pagina Web Falsa,18-29,Femenino,Tacna,Tarde,No,No,No,2024.57
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Madrugada,Si,No,No,9670.79
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Cusco,Tarde,Si,No,Si,1273.79
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Cusco,Tarde,Si,No,Si,2736.72
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,2782.21
Suplantacion de Identidad,Redes Sociales,50-64,Masculino,Lima,Manana,Si,Si,No,1423.73
Fraude Informatico,Correo Electronico,50-64,Masculino,Lima,Noche,Si,No,No,9707.64
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,La Libertad,Madrugada,Si,No,No,4209.53
Estafa por Internet,Redes Sociales,50-64,Femenino,La Libertad,Noche,No,No,No,1511.46
Estafa por Internet,Redes Sociales,65 o mas,Femenino,Cusco,Manana,Si,Si,Si,2904.94
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Lambayeque,Tarde,Si,No,No,852.43
Fraude Informatico,Redes Sociales,18-29,Femenino,La Libertad,Noche,Si,Si,No,3111.55
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,3953.23
Acceso Ilicito,WhatsApp o SMS,65 o mas,Femenino,Lima,Manana,Si,Si,Si,6076.84
Estafa por Internet,WhatsApp o SMS,50-64,Femenino,Puno,Tarde,Si,No,No,1979.31
Estafa por Internet,Llamada Telefonica,18-29,Femenino,Lima,Manana,No,No,No,1816.16
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,Si,2359.26
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Piura,Noche,Si,No,No,2711.25
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Tarde,No,No,Si,9998.21
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lambayeque,Tarde,No,No,No,6208.3
Estafa por Internet,Redes Sociales,50-64,Masculino,La Libertad,Manana,No,Si,Si,2198.69
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Madrugada,Si,No,No,2193.14
Fraude Informatico,WhatsApp o SMS,50-64,Femenino,Junin,Madrugada,No,No,No,4270.15
Fraude Informatico,Redes Sociales,50-64,Masculino,Lima,Tarde,No,No,Si,8743.69
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Tarde,No,No,No,1848.62
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Tarde,Si,No,No,11078.59
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Noche,No,No,No,10696.79
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,Si,No,Si,1506.44
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Manana,Si,No,No,1465.52
Suplantacion de Identidad,Correo Electronico,18-29,Femenino,Lima,Manana,No,Si,Si,1831.6
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Manana,No,Si,Si,4198.86
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Cusco,Madrugada,No,Si,Si,1447.6
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Cusco,Noche,No,No,No,3557.6
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,No,6605.57
Acceso Ilicito,Correo Electronico,18-29,Masculino,Lima,Noche,Si,No,Si,4247.29
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Lima,Manana,Si,No,No,1832.21
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Noche,No,No,No,2894.12
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Cusco,Tarde,No,No,No,2025.53
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Piura,Noche,No,No,No,1872.17
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,No,No,No,4510.4
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,Si,No,3419.64
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Noche,Si,No,Si,7959.75
Fraude Informatico,WhatsApp o SMS,50-64,Femenino,Arequipa,Madrugada,Si,No,No,9088.46
Sextorsion,Redes Sociales,18-29,Masculino,Lima,Madrugada,No,No,No,7452.33
Fraude Informatico,Llamada Telefonica,18-29,Masculino,Tacna,Manana,Si,No,No,5557.55
Estafa por Internet,Pagina Web Falsa,18-29,Masculino,Cusco,Noche,No,No,No,1376.37
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,Si,No,No,1174.77
Acceso Ilicito,WhatsApp o SMS,30-49,Femenino,Arequipa,Tarde,No,No,Si,3528.95
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lambayeque,Madrugada,No,Si,Si,1349.92
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Arequipa,Madrugada,Si,Si,No,1201.64
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Noche,No,No,No,2417.01
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,Si,No,No,6732.05
Acceso Ilicito,Pagina Web Falsa,18-29,Femenino,Puno,Tarde,No,No,Si,2057.89
Fraude Informatico,Redes Sociales,18-29,Femenino,La Libertad,Noche,No,Si,Si,4933.34
Fraude Informatico,WhatsApp o SMS,65 o mas,Femenino,La Libertad,Manana,No,No,Si,10622.96
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Callao,Tarde,No,No,No,1393.65
Fraude Informatico,Redes Sociales,30-49,Masculino,Callao,Madrugada,No,No,Si,9598.19
Estafa por Internet,Pagina Web Falsa,30-49,Masculino,Lambayeque,Tarde,No,No,No,2162.29
Sextorsion,Correo Electronico,30-49,Femenino,Lima,Manana,No,Si,No,3136.7
Estafa por Internet,Correo Electronico,30-49,Femenino,Lima,Tarde,No,No,Si,3817.51
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Piura,Manana,Si,No,Si,7211.28
Fraude Informatico,Redes Sociales,30-49,Femenino,Piura,Tarde,No,No,No,4164.52
Estafa por Internet,Redes Sociales,18-29,Femenino,Arequipa,Tarde,Si,No,No,1392.05
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Lima,Manana,No,Si,No,10076.5
Sextorsion,WhatsApp o SMS,30-49,Femenino,Cusco,Tarde,No,Si,No,5185.08
Sextorsion,Correo Electronico,50-64,Femenino,Piura,Manana,No,No,No,6888.42
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,Si,2352.63
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,Si,4774.95
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,No,Si,4855.64
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Lima,Madrugada,No,No,Si,2471.36
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,No,No,4590.9
Fraude Informatico,Llamada Telefonica,18-29,Masculino,Lima,Manana,Si,No,Si,3810.15
Suplantacion de Identidad,Pagina Web Falsa,18-29,Masculino,Lima,Tarde,No,No,No,2015.17
Estafa por Internet,Llamada Telefonica,30-49,Femenino,Arequipa,Manana,No,No,No,2318.69
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,La Libertad,Noche,No,Si,No,1386.36
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Puno,Noche,Si,No,No,872.03
Fraude Informatico,Redes Sociales,50-64,Masculino,Lima,Manana,No,No,Si,7958.17
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,Si,963.11
Sextorsion,Pagina Web Falsa,30-49,Masculino,Callao,Madrugada,No,No,No,5497.42
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,Si,4585.67
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Tacna,Tarde,No,No,No,2216.59
Estafa por Internet,WhatsApp o SMS,50-64,Masculino,Puno,Tarde,Si,Si,Si,2452.13
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,No,3712.92
Suplantacion de Identidad,Correo Electronico,30-49,Masculino,Tacna,Manana,No,No,No,1231.83
Acceso Ilicito,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,No,5407.6
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Madrugada,No,No,Si,10384.8
Fraude Informatico,Redes Sociales,30-49,Femenino,La Libertad,Tarde,No,No,No,4835.02
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,Si,4005.78
Acceso Ilicito,Correo Electronico,18-29,Femenino,Lambayeque,Tarde,No,No,No,3942.63
Estafa por Internet,Pagina Web Falsa,30-49,Femenino,Lima,Manana,No,No,Si,4185.22
Estafa por Internet,Llamada Telefonica,30-49,Masculino,Lima,Manana,No,No,Si,4299.87
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Arequipa,Manana,Si,No,No,2586.23
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,La Libertad,Madrugada,No,No,No,3019.13
Acceso Ilicito,Correo Electronico,50-64,Femenino,Lima,Manana,No,No,Si,4482.33
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Noche,No,No,Si,2645.2
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Puno,Noche,No,Si,Si,2710.39
Acceso Ilicito,Pagina Web Falsa,50-64,Femenino,Lima,Tarde,No,No,No,5925.84
