gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,master's degree,free/reduced,none,45,56,54
male,group D,high school,standard,none,45,48,46
male,group A,high school,free/reduced,none,45,47,49
male,group D,some college,standard,none,44,54,53
female,group C,high school,standard,none,44,61,52
male,group B,associate's degree,free/reduced,none,44,41,38
female,group C,bachelor's degree,free/reduced,none,44,63,62
female,group A,some high school,free/reduced,none,44,64,58
female,group A,some high school,free/reduced,none,44,45,45
female,group C,some high school,standard,completed,44,51,55
female,group C,some high school,free/reduced,none,44,50,51
male,group D,high school,free/reduced,none,44,51,48
female,group C,some high school,free/reduced,none,43,53,53
female,group D,associate's degree,free/reduced,none,43,60,58
female,group C,bachelor's degree,free/reduced,none,43,62,61
female,group C,bachelor's degree,free/reduced,completed,43,51,54
male,group C,associate's degree,free/reduced,completed,43,45,50
female,group D,associate's degree,free/reduced,completed,42,61,58
female,group B,high school,standard,none,42,52,51
female,group C,some college,free/reduced,completed,42,66,69
female,group C,high school,free/reduced,none,42,62,60
female,group E,some college,free/reduced,completed,42,55,54
male,group D,high school,free/reduced,none,42,39,34
female,group B,some high school,standard,none,41,55,51
female,group E,high school,free/reduced,none,41,45,40
male,group B,some college,free/reduced,none,41,39,34
female,group C,high school,free/reduced,none,41,46,43
female,group A,associate's degree,free/reduced,none,41,51,48
male,group D,high school,standard,none,41,52,51
male,group C,high school,free/reduced,completed,40,46,50
female,group D,some high school,free/reduced,completed,40,65,64
female,group B,associate's degree,standard,none,40,48,50
male,group B,some college,free/reduced,none,40,43,39
female,group C,master's degree,free/reduced,none,40,58,54
male,group A,associate's degree,free/reduced,completed,40,55,53
male,group D,some college,standard,none,40,42,38
female,group C,associate's degree,standard,none,40,59,51
female,group D,master's degree,free/reduced,none,40,59,54
male,group D,associate's degree,standard,none,40,52,43
male,group A,some high school,free/reduced,none,39,39,34
male,group D,bachelor's degree,free/reduced,completed,39,42,38
female,group D,high school,free/reduced,none,39,52,46
female,group C,associate's degree,standard,none,39,64,57
female,group A,some high school,free/reduced,none,38,43,43
female,group B,high school,free/reduced,none,38,60,50
female,group E,some high school,free/reduced,none,38,49,45
female,group E,bachelor's degree,standard,none,37,45,38
male,group C,bachelor's degree,free/reduced,none,37,56,47
female,group A,associate's degree,free/reduced,none,37,57,56
female,group B,some high school,standard,none,37,46,46
male,group B,high school,free/reduced,none,36,29,27
female,group C,high school,free/reduced,none,36,53,43
female,group C,high school,free/reduced,none,35,53,46
female,group C,high school,free/reduced,none,35,61,54
female,group D,some high school,free/reduced,completed,35,55,60
male,group C,some college,free/reduced,none,35,28,27
female,group C,some college,free/reduced,none,35,44,43
female,group C,high school,free/reduced,none,34,42,39
female,group A,high school,free/reduced,completed,34,48,41
female,group C,high school,free/reduced,none,33,41,43
female,group C,some college,free/reduced,none,32,39,33
female,group B,some high school,standard,completed,32,51,44
female,group E,some high school,free/reduced,none,32,34,38
male,group E,some high school,standard,none,30,26,22
male,group B,high school,free/reduced,none,30,24,15
female,group D,bachelor's degree,free/reduced,none,29,41,47
female,group C,some high school,free/reduced,completed,29,40,44
female,group C,high school,standard,none,29,29,30
male,group A,some college,free/reduced,none,28,23,19
male,group C,high school,free/reduced,none,27,34,36
female,group D,some high school,free/reduced,none,27,34,32
female,group D,associate's degree,free/reduced,none,26,31,38
female,group B,some high school,free/reduced,none,24,38,27
female,group B,high school,free/reduced,completed,23,44,36
female,group C,some college,free/reduced,none,22,39,33
female,group B,some college,standard,none,19,38,32
female,group B,some high school,free/reduced,none,18,32,28
female,group B,high school,free/reduced,none,8,24,23
female,group C,some high school,free/reduced,none,0,17,10
