tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Fraude Informatico,Correo Electronico,30-49,Femenino,Lima,Tarde,Si,Si,Si,3574.12
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Lima,Tarde,No,No,No,3570.52
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Noche,Si,No,No,3570.24
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,Si,No,3566.32
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Manana,Si,Si,No,3565.88
Estafa por Internet,WhatsApp o SMS,50-64,Masculino,Cusco,Manana,No,No,No,3563.07
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Cusco,Noche,No,No,No,3557.6
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,No,3550.63
Acceso Ilicito,Correo Electronico,65 o mas,Masculino,Arequipa,Manana,No,No,No,3545.9
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lima,Manana,No,No,Si,3541.78
Acceso Ilicito,WhatsApp o SMS,30-49,Femenino,Arequipa,Tarde,No,No,Si,3528.95
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Madrugada,No,Si,No,3522.94
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Piura,Manana,Si,No,Si,3522.19
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,La Libertad,Noche,No,No,Si,3521.34
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Madrugada,No,Si,No,3511.11
Estafa por Internet,Correo Electronico,50-64,Femenino,Piura,Manana,No,No,No,3490.82
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,La Libertad,Manana,Si,No,No,3482.38
Sextorsion,Llamada Telefonica,50-64,Femenino,Lambayeque,Manana,Si,No,No,3476.33
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Noche,No,No,No,3461.68
Fraude Informatico,Redes Sociales,30-49,Masculino,Callao,Tarde,No,Si,Si,3460.51
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Noche,No,Si,No,3452.16
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Junin,Manana,Si,No,Si,3442.47
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Madrugada,No,Si,Si,3437.39
Suplantacion de Identidad,Pagina Web Falsa,65 o mas,Femenino,Callao,Tarde,No,No,No,3435.26
Fraude Informatico,Redes Sociales,18-29,Masculino,Piura,Tarde,No,Si,No,3428.95
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,Si,Si,Si,3425.67
Fraude Informatico,Correo Electronico,18-29,Femenino,Piura,Noche,No,No,Si,3422.68
Acceso Ilicito,WhatsApp o SMS,65 o mas,Femenino,Lima,Tarde,Si,Si,No,3421.69
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,Si,No,3419.64
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Madrugada,No,No,Si,3416.22
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,No,3394.22
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Lima,Madrugada,No,Si,No,3384.57
Suplantacion de Identidad,Correo Electronico,65 o mas,Masculino,La Libertad,Madrugada,No,No,No,3377.49
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,La Libertad,Manana,Si,No,No,3376.53
Fraude Informatico,Correo Electronico,18-29,Masculino,La Libertad,Noche,No,No,No,3374.18
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Manana,No,Si,No,3371.26
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Tarde,Si,No,No,3371.18
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Manana,No,No,No,3369.87
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,No,3367.8
Fraude Informatico,Correo Electronico,18-29,Femenino,Piura,Manana,Si,Si,No,3365.3
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,No,3364.57
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,No,3362.02
Sextorsion,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,No,No,3360.76
Estafa por Internet,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,No,3359.17
Fraude Informatico,Redes Sociales,18-29,Femenino,La Libertad,Madrugada,No,No,No,3359.17
Suplantacion de Identidad,Correo Electronico,30-49,Masculino,Lima,Tarde,Si,No,Si,3353.56
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Manana,No,No,No,3347.69
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Piura,Tarde,No,No,No,3344.9
Suplantacion de Identidad,Pagina Web Falsa,50-64,Masculino,Lima,Tarde,Si,No,No,3341.27
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,Si,Si,Si,3338.69
Acceso Ilicito,Redes Sociales,50-64,Femenino,Lima,Noche,Si,No,Si,3336.94
Fraude Informatico,Redes Sociales,18-29,Masculino,Arequipa,Manana,No,Si,No,3329.22
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,No,No,Si,3323.23
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Tarde,Si,Si,Si,3310.25
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Cusco,Manana,No,No,No,3308.19
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Noche,Si,No,No,3298.28
Acceso Ilicito,Redes Sociales,50-64,Femenino,Cusco,Madrugada,No,Si,No,3295.28
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Puno,Tarde,No,Si,No,3290.14
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Lima,Noche,No,No,No,3288.86
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Manana,Si,No,Si,3284.86
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Junin,Tarde,Si,No,Si,3284.09
Sextorsion,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,Si,3282.54
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,Si,No,No,3282.17
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lambayeque,Manana,No,No,No,3281.03
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Arequipa,Manana,No,Si,No,3279.38
Estafa por Internet,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,No,No,Si,3278.22
Fraude Informatico,Correo Electronico,18-29,Masculino,Piura,Noche,No,Si,Si,3268.05
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,Si,No,No,3262.11
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Noche,Si,No,Si,3256.9
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Lima,Madrugada,No,No,Si,3249.25
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Noche,Si,No,No,3243.75
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Arequipa,Tarde,Si,Si,No,3242.44
Estafa por Internet,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,3240.86
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Noche,No,No,Si,3240.41
Suplantacion de Identidad,Correo Electronico,50-64,Masculino,Lima,Tarde,No,No,Si,3232.87
Sextorsion,Correo Electronico,50-64,Masculino,Arequipa,Madrugada,No,No,Si,3232.84
Estafa por Internet,Correo Electronico,18-29,Masculino,Lima,Madrugada,No,No,Si,3217.75
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Manana,Si,No,Si,3212.65
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Lima,Noche,No,No,No,3200.06
Estafa por Internet,Redes Sociales,50-64,Femenino,Lima,Manana,Si,No,Si,3200.0
Estafa por Internet,Pagina Web Falsa,50-64,Masculino,Lima,Manana,No,Si,No,3198.27
Sextorsion,Pagina Web Falsa,18-29,Masculino,Lima,Manana,No,No,Si,3195.98
Acceso Ilicito,WhatsApp o SMS,50-64,Femenino,La Libertad,Tarde,No,Si,No,3195.35
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,No,No,3193.78
Fraude Informatico,Redes Sociales,30-49,Masculino,Piura,Tarde,No,Si,No,3189.07
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,Si,Si,No,3178.68
Estafa por Internet,Correo Electronico,50-64,Masculino,Lima,Manana,No,Si,No,3164.28
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Cusco,Tarde,No,Si,No,3150.52
Suplantacion de Identidad,Redes Sociales,50-64,Masculino,Puno,Madrugada,No,No,No,3149.59
Fraude Informatico,Correo Electronico,18-29,Femenino,Lambayeque,Manana,Si,No,No,3147.18
Estafa por Internet,WhatsApp o SMS,50-64,Masculino,Lima,Madrugada,No,No,No,3145.35
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Tarde,Si,No,No,3144.08
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,Si,No,No,3138.11
Sextorsion,Correo Electronico,30-49,Femenino,Lima,Manana,No,Si,No,3136.7
Sextorsion,Correo Electronico,18-29,Masculino,Lima,Madrugada,No,No,No,3136.02
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lambayeque,Tarde,No,Si,Si,3133.98
Acceso Ilicito,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,Si,No,3126.15
Acceso Ilicito,Llamada Telefonica,30-49,Femenino,Lima,Tarde,Si,No,No,3118.2
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Junin,Tarde,No,No,No,3117.84
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Madrugada,Si,Si,Si,3115.64
Fraude Informatico,Redes Sociales,18-29,Femenino,La Libertad,Noche,Si,Si,No,3111.55
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Tarde,No,No,Si,3101.76
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,Si,Si,Si,3101.58
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Tarde,Si,No,Si,3101.32
Suplantacion de Identidad,Redes Sociales,65 o mas,Femenino,Lima,Tarde,Si,No,No,3099.48
Fraude Informatico,Redes Sociales,18-29,Femenino,Junin,Tarde,No,No,No,3099.2
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,Si,3098.27
Suplantacion de Identidad,Redes Sociales,65 o mas,Femenino,Lima,Madrugada,No,No,Si,3088.72
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Noche,No,Si,Si,3083.99
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Cusco,Noche,No,No,No,3072.33
Fraude Informatico,Pagina Web Falsa,18-29,Femenino,Arequipa,Tarde,Si,No,Si,3070.75
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Tarde,No,Si,No,3061.95
Estafa por Internet,WhatsApp o SMS,65 o mas,Masculino,Lima,Manana,Si,No,No,3058.77
Estafa por Internet,Redes Sociales,65 o mas,Masculino,Lima,Manana,No,Si,No,3055.93
Fraude Informatico,Redes Sociales,18-29,Masculino,Puno,Noche,No,Si,No,3053.28
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,Si,Si,Si,3049.17
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Tarde,Si,No,Si,3039.7
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Noche,Si,No,Si,3037.02
Estafa por Internet,Redes Sociales,30-49,Masculino,Lima,Manana,No,No,Si,3032.5
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,Si,Si,No,3030.27
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,Si,3027.35
Fraude Informatico,Redes Sociales,30-49,Masculino,Piura,Tarde,Si,Si,No,3026.24
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Tacna,Tarde,No,No,Si,3019.66
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,La Libertad,Madrugada,No,No,No,3019.13
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Noche,No,No,No,3017.45
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,3016.66
Fraude Informatico,Redes Sociales,18-29,Masculino,Lambayeque,Tarde,No,No,No,3007.86
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Arequipa,Manana,No,No,Si,2993.76
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Junin,Tarde,Si,No,No,2989.17
Estafa por Internet,Redes Sociales,30-49,Femenino,Lima,Madrugada,No,Si,No,2988.98
Acceso Ilicito,Correo Electronico,18-29,Masculino,Lima,Tarde,No,No,Si,2985.58
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Manana,No,Si,No,2984.34
Estafa por Internet,Correo Electronico,30-49,Masculino,La Libertad,Manana,No,No,No,2973.31
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Piura,Madrugada,No,Si,No,2972.99
Fraude Informatico,Correo Electronico,18-29,Masculino,Piura,Noche,No,No,Si,2967.46
Fraude Informatico,Redes Sociales,30-49,Femenino,Junin,Noche,No,Si,No,2964.14
Acceso Ilicito,Correo Electronico,30-49,Femenino,Puno,Manana,Si,No,No,2963.62
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Noche,Si,No,No,2957.64
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Puno,Tarde,No,No,No,2954.49
Acceso Ilicito,Pagina Web Falsa,30-49,Femenino,Piura,Manana,No,Si,No,2939.75
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Tarde,No,No,No,2939.74
Fraude Informatico,Llamada Telefonica,18-29,Masculino,Junin,Madrugada,No,No,No,2936.64
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Piura,Tarde,No,No,Si,2928.49
Suplantacion de Identidad,WhatsApp o SMS,65 o mas,Masculino,Lima,Manana,No,No,No,2927.65
Acceso Ilicito,Pagina Web Falsa,65 o mas,Masculino,Lima,Tarde,Si,Si,Si,2923.79
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Arequipa,Tarde,No,No,No,2916.99
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Callao,Madrugada,No,No,Si,2914.97
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Lima,Madrugada,No,No,No,2907.79
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lima,Tarde,No,No,No,2905.25
Estafa por Internet,Redes Sociales,65 o mas,Femenino,Cusco,Manana,Si,Si,Si,2904.94
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Lima,Manana,No,No,Si,2903.2
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Lima,Tarde,No,No,No,2900.99
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Noche,No,No,No,2894.12
Sextorsion,Redes Sociales,50-64,Masculino,Junin,Tarde,Si,No,No,2890.55
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Arequipa,Tarde,No,No,Si,2889.35
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Arequipa,Tarde,No,No,No,2884.55
Acceso Ilicito,Redes Sociales,50-64,Masculino,Lima,Tarde,No,No,No,2880.75
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Junin,Noche,No,Si,Si,2877.1
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Tarde,Si,No,No,2871.73
Suplantacion de Identidad,Llamada Telefonica,50-64,Femenino,Lima,Manana,No,Si,Si,2866.77
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Manana,No,Si,No,2857.39
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Madrugada,No,No,No,2854.74
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Tarde,No,No,No,2848.44
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,Si,2846.62
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,Si,No,Si,2844.9
Estafa por Internet,Redes Sociales,65 o mas,Masculino,Cusco,Tarde,No,No,Si,2842.77
Acceso Ilicito,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,Si,Si,No,2840.95
Estafa por Internet,Pagina Web Falsa,18-29,Masculino,Lima,Madrugada,No,No,No,2840.87
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Tacna,Tarde,No,No,No,2840.27
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Lima,Manana,No,Si,No,2839.5
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,No,No,No,2825.65
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Tarde,No,No,No,2818.34
Sextorsion,Llamada Telefonica,30-49,Masculino,Lima,Madrugada,No,Si,No,2813.84
Fraude Informatico,Redes Sociales,18-29,Femenino,Puno,Tarde,Si,No,Si,2809.95
Sextorsion,Correo Electronico,18-29,Masculino,Lima,Noche,No,No,No,2809.86
Estafa por Internet,WhatsApp o SMS,50-64,Femenino,Callao,Tarde,No,No,No,2801.95
Sextorsion,Redes Sociales,18-29,Femenino,Puno,Tarde,Si,Si,No,2792.31
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,2782.21
Sextorsion,Correo Electronico,18-29,Femenino,Lima,Noche,Si,No,Si,2779.79
Suplantacion de Identidad,Redes Sociales,65 o mas,Femenino,Lima,Tarde,Si,No,No,2779.74
Estafa por Internet,Correo Electronico,18-29,Femenino,Lambayeque,Noche,No,No,Si,2778.43
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,No,No,Si,2777.89
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,La Libertad,Manana,No,No,No,2770.19
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Manana,No,No,No,2766.7
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lambayeque,Tarde,No,No,Si,2765.67
Suplantacion de Identidad,Correo Electronico,18-29,Femenino,Lima,Tarde,No,No,Si,2760.49
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Madrugada,No,No,Si,2759.4
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Arequipa,Manana,No,No,No,2756.98
Acceso Ilicito,Redes Sociales,30-49,Masculino,Lima,Manana,No,Si,Si,2753.39
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Cusco,Tarde,Si,No,Si,2736.72
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Puno,Tarde,No,No,Si,2736.15
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Manana,No,No,Si,2729.02
Acceso Ilicito,Correo Electronico,18-29,Femenino,Lima,Madrugada,No,Si,Si,2727.15
Estafa por Internet,Pagina Web Falsa,65 o mas,Masculino,Cusco,Tarde,No,No,No,2726.1
Acceso Ilicito,Correo Electronico,18-29,Masculino,Piura,Tarde,No,No,Si,2718.04
Fraude Informatico,Pagina Web Falsa,18-29,Femenino,Cusco,Tarde,No,No,No,2712.35
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,2711.66
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Piura,Noche,Si,No,No,2711.25
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Puno,Noche,No,Si,Si,2710.39
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lambayeque,Madrugada,No,No,Si,2709.23
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,No,2705.82
Suplantacion de Identidad,Correo Electronico,30-49,Masculino,Arequipa,Tarde,No,No,No,2699.82
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Lima,Tarde,Si,Si,No,2691.99
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,No,2687.84
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Piura,Tarde,No,No,No,2682.4
Acceso Ilicito,Redes Sociales,18-29,Masculino,Junin,Manana,No,Si,Si,2667.06
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,No,2665.08
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2650.58
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Noche,No,No,Si,2646.13
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Noche,No,No,Si,2645.2
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,2644.1
Estafa por Internet,Llamada Telefonica,65 o mas,Masculino,Arequipa,Tarde,Si,No,No,2642.84
Sextorsion,Pagina Web Falsa,18-29,Masculino,Lima,Noche,No,No,No,2629.91
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Tacna,Tarde,Si,Si,Si,2629.66
Estafa por Internet,WhatsApp o SMS,18-29,Femenino,Callao,Manana,No,No,No,2627.26
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Manana,No,No,No,2626.66
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Noche,No,No,Si,2623.41
Acceso Ilicito,Correo Electronico,30-49,Masculino,Callao,Noche,No,No,No,2616.08
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,Si,2612.26
Sextorsion,Correo Electronico,18-29,Masculino,Puno,Tarde,No,Si,No,2608.62
Estafa por Internet,Redes Sociales,30-49,Masculino,Lima,Tarde,Si,No,No,2607.99
Suplantacion de Identidad,Correo Electronico,65 o mas,Femenino,Lima,Manana,No,Si,No,2600.74
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,2596.51
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lambayeque,Noche,Si,No,No,2591.65
Estafa por Internet,Redes Sociales,30-49,Femenino,Tacna,Noche,No,No,No,2590.99
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,La Libertad,Manana,No,No,No,2588.21
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Arequipa,Manana,Si,No,No,2586.23
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Arequipa,Noche,Si,No,Si,2585.97
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,Si,2581.57
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,Si,2579.79
Estafa por Internet,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,Si,Si,2576.65
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Manana,Si,No,Si,2576.47
Acceso Ilicito,Redes Sociales,30-49,Masculino,Tacna,Madrugada,Si,No,Si,2570.9
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2569.19
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Lambayeque,Noche,No,No,No,2568.02
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Manana,No,No,No,2563.94
Sextorsion,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,Si,No,2562.76
Estafa por Internet,Correo Electronico,30-49,Femenino,Arequipa,Tarde,No,No,Si,2561.13
Acceso Ilicito,Pagina Web Falsa,50-64,Femenino,Lima,Madrugada,Si,No,No,2558.7
Estafa por Internet,Redes Sociales,18-29,Femenino,La Libertad,Tarde,No,No,No,2558.67
Estafa por Internet,Llamada Telefonica,18-29,Femenino,Lima,Tarde,Si,No,No,2555.17
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Cusco,Manana,No,No,No,2555.1
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Lima,Tarde,No,Si,No,2551.92
Fraude Informatico,Correo Electronico,18-29,Masculino,Junin,Tarde,No,No,No,2547.93
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Noche,No,No,No,2547.47
Fraude Informatico,Correo Electronico,18-29,Masculino,Tacna,Tarde,Si,Si,Si,2542.88
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Tarde,No,Si,Si,2540.03
Acceso Ilicito,Correo Electronico,50-64,Masculino,Tacna,Tarde,Si,No,Si,2524.22
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,La Libertad,Tarde,No,No,Si,2518.41
